"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
11,http://bbs.cehome.com/thread-1150998-1-1.html,挖掘机专区,杂谈图库,【每周话题】你都挖出过啥稀奇古怪的东西？,甲友们天天打交道的土和石头里，经常藏有一些稀奇古怪的“宝贝”。小白我经常看见有甲友说，发财了，今儿挖到了XX年代的罐子！明儿又挖出一堆铜钱！就前两天！还有甲友发帖子说挖出个石碑！我就在纳闷...你们怎么老能挖出这些稀奇古怪的玩意...话题内容：各位甲友都来说说，你的挖机都挖出过什么宝贝？值钱的，囧的，雷人的，危险的....等等。你又是如何处理的呢？回复在本帖内！！话题时间：11.28-12.1话题奖励：从所有回复的楼层中，选出10位最精彩的回复。每人奖励“50铁甲币”！（严禁辱骂、灌水，复制内容不记入名单）,铁甲小白,2017-11-28,生活杂谈,【 每周 话题 】 你 都 挖 出过 啥 稀奇古怪 的 东西 ？ 甲 友 们 天天 打交道 的 土 和 石 头里 ， 经常 藏有 一些 稀奇古怪 的 “ 宝贝 ” 。 小白 我 经常 看见 有 甲 友 说 ， 发财 了 ， 今儿 挖 到了 XX 年代 的 罐子 ！ 明儿 又 挖出 一堆 铜钱 ！ 就 前两天 ！ 还有 甲 友 发帖子 说 挖 出个 石碑 ！ 我 就在 纳闷 ... 你们 怎么 老 能 挖出 这些 稀奇古怪 的 玩意 ... 话题 内容 ： 各位 甲 友 都来 说说 ， 你 的 挖机 都 挖 出过 什么 宝贝 ？ 值钱 的 ， 囧 的 ， 雷 人 的 ， 危险 的 .... 等等 。 你 又是 如何 处理 的 呢 ？ 回复 在 本帖 内 ！ ！ 话题 时间 ： 11.28-12.1 话题 奖励 ： 从 所有 回复 的 楼层 中 ， 选出 10 位 最 精彩 的 回复 。 每人 奖励 “ 50 铁甲 币 ” ！ （ 严禁 辱骂 、 灌水 ， 复制 内容 不 记入 名单 ）
12,http://bbs.cehome.com/thread-1150994-1-1.html,挖掘机专区,我爱我挖,农村一样套路深,,我爱把把,2017-11-28,,农村 一样 套路 深 
13,http://bbs.cehome.com/thread-1150992-1-1.html,挖掘机专区,我爱我挖,车标到了,,小斗修地球,2017-11-28,,车标 到了 
14,http://bbs.cehome.com/thread-1150990-1-1.html,互通有无,招聘求职,找挖机师傅两名,拉萨找2字头挖机两名，外地的可报销来回机票，有意电话联系，黄，15881831933,有何不可~,2017-11-28,西藏,找 挖机 师傅 两名 拉萨 找 2 字头 挖机 两名 ， 外地 的 可 报销 来回 机票 ， 有意 电话 联系 ， 黄 ， 15881831933
15,http://bbs.cehome.com/thread-1150987-1-1.html,挖掘机专区,选购询价,按揭车能卖吗,16年买的新车，柳工906d，买回来活不多，每个月打贷款，贷款还有一年，能不能卖，能卖多少钱,15552836000,2017-11-28,机型对比,按揭 车 能 卖 吗 16 年 买 的 新车 ， 柳 工 906d ， 买回来 活 不多 ， 每个月 打 贷款 ， 贷款 还有 一年 ， 能不能 卖 ， 能 卖 多少钱
16,http://bbs.cehome.com/thread-1150986-1-1.html,挖掘机专区,我爱我挖,出事故了，堵车，什么时候到工地啊（干活的命，雨天照样 ...,,不搞挖机了,2017-11-28,,出 事故 了 ， 堵车 ， 什么时候 到 工地 啊 （ 干活 的 命 ， 雨天 照样  ... 
17,http://bbs.cehome.com/thread-1150981-1-1.html,挖掘机专区,我爱我挖,车贴已到，谢谢铁甲,车贴已到，谢谢铁甲，以前一直没贴车上，今天终于贴了两张在车上，车脏勿喷，这段时间一直在挖稀泥,开挖机的XMG,2017-11-28,,车 贴 已到 ， 谢谢 铁甲 车 贴 已到 ， 谢谢 铁甲 ， 以前 一直 没 贴 车上 ， 今天 终于 贴了 两 张在 车上 ， 车 脏 勿 喷 ， 这段 时间 一直在 挖 稀泥
18,http://bbs.cehome.com/thread-1150977-1-1.html,挖掘机专区,我爱我挖,每次都一样,,小鹏童学,2017-11-28,,每次 都 一样 
19,http://bbs.cehome.com/thread-1150976-1-1.html,挖掘机专区,我爱我挖,无聊,不好做呀！,mmmkuu,2017-11-28,,无聊 不 好做 呀 ！
20,http://bbs.cehome.com/thread-1150971-1-1.html,互通有无,招聘求职,招驾驶员,浙江宁波北仑招三年以上驾龄的拉森打桩驾驶员，电话13806634303,gjb,2017-11-28,浙江,招 驾驶员 浙江 宁波 北 仑 招 三年 以上 驾 龄 的 拉森 打桩 驾驶员 ， 电话 13806634303
21,http://bbs.cehome.com/thread-1150967-1-1.html,挖掘机专区,选购询价,斗山DX380-9c,最近入手一台36吨级别的车，心中卡特336是首选，但是很不喜欢卡特c9发动机。看了斗山380，液压泵是力士乐的，可问题又来了，竟然是5缸机。斯堪尼亚的，甲油们有用过5缸机吗？用着怎么样？以后卖机会不会有人接受？三缸南骏我倒是开过，那抖动的酸爽。下面上图，请大家共同参考参考～,电喷任性,2017-11-28,30吨以上,斗山 DX380-9c 最近 入手 一台 36 吨 级 别的 车 ， 心中 卡特 336 是 首选 ， 但是 很 不喜欢 卡特 c9 发动机 。 看了 斗山 380 ， 液压泵 是 力士乐 的 ， 可 问题 又 来了 ， 竟然是 5 缸 机 。 斯 堪 尼亚 的 ， 甲 油 们 有 用过 5 缸 机 吗 ？ 用着 怎么样 ？ 以后 卖 机 会不会 有人 接受 ？ 三缸 南 骏 我 倒是 开过 ， 那 抖动 的 酸 爽 。 下面 上图 ， 请 大家 共同 参考 参考 ～
22,http://bbs.cehome.com/thread-1150964-1-1.html,我与工程机械,故障咨询,缸盖漏水,这个用补漏剂可以堵住不？谢谢！！！,15932291960,2017-11-28,漏水,缸盖 漏水 这个 用 补漏 剂 可以 堵住 不 ？ 谢谢 ！ ！ ！
23,http://bbs.cehome.com/thread-1150962-1-1.html,铁甲娱乐,轻松一刻,早,,余生没着落,2017-11-28,,早 
24,http://bbs.cehome.com/thread-1150958-1-1.html,挖掘机专区,我爱我挖,太阳出来了,甲友你们那儿有这么大的太阳吗，山清水秀，蓝天白云。羡慕吧，哈哈,σ怼铁臂柔情,2017-11-28,,太阳 出 来了 甲 友 你们 那儿 有 这么 大 的 太阳 吗 ， 山清水秀 ， 蓝天白云 。 羡慕 吧 ， 哈哈
25,http://bbs.cehome.com/thread-1150949-1-1.html,,,,,,,, 
