"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
1,http://bbs.cehome.com/thread-1151030-1-1.html,
2,http://bbs.cehome.com/thread-1151029-1-1.html,
3,http://bbs.cehome.com/thread-1151024-1-1.html,
4,http://bbs.cehome.com/thread-1151021-1-1.html,
5,http://bbs.cehome.com/thread-1151019-1-1.html,
6,http://bbs.cehome.com/thread-1151010-1-1.html,
7,http://bbs.cehome.com/thread-1151008-1-1.html,
8,http://bbs.cehome.com/thread-1151006-1-1.html,
9,http://bbs.cehome.com/thread-1151004-1-1.html,
10,http://bbs.cehome.com/thread-1151003-1-1.html,
11,http://bbs.cehome.com/thread-1150998-1-1.html,
12,http://bbs.cehome.com/thread-1150994-1-1.html,
13,http://bbs.cehome.com/thread-1150992-1-1.html,
14,http://bbs.cehome.com/thread-1150990-1-1.html,
15,http://bbs.cehome.com/thread-1150987-1-1.html,
16,http://bbs.cehome.com/thread-1150986-1-1.html,
17,http://bbs.cehome.com/thread-1150981-1-1.html,
18,http://bbs.cehome.com/thread-1150977-1-1.html,
19,http://bbs.cehome.com/thread-1150976-1-1.html,
20,http://bbs.cehome.com/thread-1150971-1-1.html,
21,http://bbs.cehome.com/thread-1150967-1-1.html,
22,http://bbs.cehome.com/thread-1150964-1-1.html,
23,http://bbs.cehome.com/thread-1150962-1-1.html,
24,http://bbs.cehome.com/thread-1150958-1-1.html,
25,http://bbs.cehome.com/thread-1150949-1-1.html,
26,http://bbs.cehome.com/thread-1150947-1-1.html,
27,http://bbs.cehome.com/thread-1150946-1-1.html,
28,http://bbs.cehome.com/thread-1150943-1-1.html,
29,http://bbs.cehome.com/thread-1150942-1-1.html,
30,http://bbs.cehome.com/thread-1150937-1-1.html,
31,http://bbs.cehome.com/thread-1150935-1-1.html,
32,http://bbs.cehome.com/thread-1150934-1-1.html,
33,http://bbs.cehome.com/thread-1150933-1-1.html,
34,http://bbs.cehome.com/thread-1150928-1-1.html,
35,http://bbs.cehome.com/thread-1150924-1-1.html,
36,http://bbs.cehome.com/thread-1150923-1-1.html,
37,http://bbs.cehome.com/thread-1150921-1-1.html,
38,http://bbs.cehome.com/thread-1150917-1-1.html,
39,http://bbs.cehome.com/thread-1150912-1-1.html,
40,http://bbs.cehome.com/thread-1150909-1-1.html,
41,http://bbs.cehome.com/thread-1150908-1-1.html,
42,http://bbs.cehome.com/thread-1150906-1-1.html,
43,http://bbs.cehome.com/thread-1150903-1-1.html,
44,http://bbs.cehome.com/thread-1150902-1-1.html,
45,http://bbs.cehome.com/thread-1150899-1-1.html,
46,http://bbs.cehome.com/thread-1150898-1-1.html,
47,http://bbs.cehome.com/thread-1150892-1-1.html,
48,http://bbs.cehome.com/thread-1150890-1-1.html,
49,http://bbs.cehome.com/thread-1150886-1-1.html,
50,http://bbs.cehome.com/thread-1150885-1-1.html,
51,http://bbs.cehome.com/thread-1150883-1-1.html,
52,http://bbs.cehome.com/thread-1150882-1-1.html,
53,http://bbs.cehome.com/thread-1150881-1-1.html,
54,http://bbs.cehome.com/thread-1150879-1-1.html,
55,http://bbs.cehome.com/thread-1150875-1-1.html,
56,http://bbs.cehome.com/thread-1150874-1-1.html,
57,http://bbs.cehome.com/thread-1150869-1-1.html,
58,http://bbs.cehome.com/thread-1150867-1-1.html,
59,http://bbs.cehome.com/thread-1150866-1-1.html,
60,http://bbs.cehome.com/thread-1150863-1-1.html,
61,http://bbs.cehome.com/thread-1150861-1-1.html,
62,http://bbs.cehome.com/thread-1150860-1-1.html,
63,http://bbs.cehome.com/thread-1150858-1-1.html,
64,http://bbs.cehome.com/thread-1150856-1-1.html,
65,http://bbs.cehome.com/thread-1150851-1-1.html,
